"county","county.name","log.radon","basement"
1,"AITKIN",0.78845736036427,1
1,"AITKIN",0.78845736036427,0
1,"AITKIN",1.06471073699243,0
1,"AITKIN",0,0
2,"ANOKA",1.1314021114911,0
2,"ANOKA",0.916290731874155,0
2,"ANOKA",0.405465108108164,0
2,"ANOKA",0,0
2,"ANOKA",-0.356674943938732,0
2,"ANOKA",0.182321556793955,0
2,"ANOKA",0.182321556793955,0
2,"ANOKA",0.262364264467491,0
2,"ANOKA",0.336472236621213,0
2,"ANOKA",-0.916290731874155,0
2,"ANOKA",0.0953101798043249,0
2,"ANOKA",1.50407739677627,0
2,"ANOKA",0.262364264467491,0
2,"ANOKA",0.741937344729377,0
2,"ANOKA",1.77495235091167,0
2,"ANOKA",1.19392246847243,0
2,"ANOKA",0.587786664902119,0
2,"ANOKA",1.68639895357023,0
2,"ANOKA",1.84054963339749,0
2,"ANOKA",0.641853886172395,0
2,"ANOKA",1.88706964903238,0
2,"ANOKA",1.1314021114911,0
2,"ANOKA",1.91692261218206,0
2,"ANOKA",1.94591014905531,0
2,"ANOKA",2.04122032885964,0
2,"ANOKA",1.64865862558738,0
2,"ANOKA",1.50407739677627,0
2,"ANOKA",1.48160454092422,0
2,"ANOKA",1.02961941718116,0
2,"ANOKA",2.09186406167839,0
2,"ANOKA",0.470003629245736,0
2,"ANOKA",1.43508452528932,0
2,"ANOKA",1.68639895357023,0
2,"ANOKA",1.38629436111989,0
2,"ANOKA",0.832909122935104,0
2,"ANOKA",1.06471073699243,0
2,"ANOKA",0.336472236621213,0
2,"ANOKA",1.19392246847243,0
2,"ANOKA",1.06471073699243,0
2,"ANOKA",0.587786664902119,1
2,"ANOKA",-1.6094379124341,1
2,"ANOKA",0.8754687373539,0
2,"ANOKA",0.0953101798043249,1
2,"ANOKA",0.78845736036427,0
2,"ANOKA",-0.510825623765991,0
2,"ANOKA",0.53062825106217,0
2,"ANOKA",1.06471073699243,0
2,"ANOKA",0.78845736036427,0
2,"ANOKA",0.53062825106217,0
2,"ANOKA",0.336472236621213,0
2,"ANOKA",0.641853886172395,0
2,"ANOKA",0.587786664902119,0
3,"BECKER",0.182321556793955,1
3,"BECKER",1.45861502269952,0
3,"BECKER",1.50407739677627,1
4,"BELTRAMI",1.84054963339749,0
4,"BELTRAMI",1.52605630349505,0
4,"BELTRAMI",1.7404661748405,0
4,"BELTRAMI",0.78845736036427,1
4,"BELTRAMI",-0.916290731874155,1
4,"BELTRAMI",1.52605630349505,1
4,"BELTRAMI",1.48160454092422,1
5,"BENTON",1.88706964903238,0
5,"BENTON",0.993251773010283,0
5,"BENTON",1.06471073699243,1
5,"BENTON",1.06471073699243,0
6,"BIG STONE",1.97408102602201,0
6,"BIG STONE",1.6094379124341,0
6,"BIG STONE",0.955511445027436,0
7,"BLUE EARTH",1.6094379124341,0
7,"BLUE EARTH",2.56494935746154,0
7,"BLUE EARTH",1.97408102602201,0
7,"BLUE EARTH",1.91692261218206,0
7,"BLUE EARTH",2.54944517092557,0
